,Totalt,Data/It,"Ekonomi, administration och försäljning",Friskvård och kroppsvård,"Hotell, restaurang och turism",Hälso- och sjukvård samt socialt arbete,Journalistik och information,Juridik,"Kultur, media och design","Lantbruk, djurvård, trädgård, skog och fiske",Pedagogik och undervisning,Samhällsbyggnad och byggteknik,Säkerhetstjänster,Teknik och tillverkning,Transporttjänster,övrigt
2005,11574,1096,2841,251,902,1611,0,0,1177,648,16,787,182,1700,363,0
2006,13323,998,3630,374,1186,1620,35,62,1077,618,88,942,192,1900,601,0
2007,14652,1149,4069,351,1277,1681,62,62,1114,648,100,1026,258,2194,661,0
2008,15298,1064,4526,393,1157,1623,63,67,1055,651,101,1217,239,2381,732,29
2009,16572,1089,4939,373,1151,1686,101,68,1048,691,86,1371,213,2937,789,30
2010,16792,1164,4758,235,1108,1932,114,73,908,767,306,1413,173,3027,784,30
2011,16855,1286,4940,135,1056,2024,141,73,890,555,293,1705,147,2838,703,69
2012,15801,1476,4569,125,893,1914,76,106,854,596,160,1721,117,2558,529,107
2013,17697,1811,4950,148,1058,2241,253,111,984,588,258,1801,96,2982,325,91
2014,18442,2356,4518,86,1024,2677,283,77,1032,522,247,1968,171,3024,412,45
2015,18334,2718,3794,154,999,2462,193,132,1027,600,194,2276,181,2927,610,67
2016,19600,2355,4666,110,1013,2754,321,130,1008,667,334,2407,96,2880,755,104
2017,20642,2302,5000,108,977,3143,344,171,1142,606,315,2730,69,2771,854,110
2018,23052,2285,6040,133,980,3683,368,172,1076,537,603,3339,187,2970,603,76
2019,28561,3584,7100,155,1217,4334,411,181,1279,662,712,4039,221,3704,775,187
2020,36162,5647,7991,167,1479,5221,369,209,1505,677,889,5636,313,5094,776,189
2021,33282,5387,6522,180,1369,5343,351,178,1547,806,878,4787,209,4886,626,213
2022,33494,5831,6602,210,1069,5415,293,141,1569,816,883,4815,345,4674,609,222
2023,35210,6445,7034,230,1155,5076,283,144,1770,931,488,5090,342,5277,823,122
2024,35426,6490,6531,122,1251,4761,232,135,1660,1019,414,5518,301,6111,741,140
