Utbildningsområde,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Totalt,10460,9146,9727.0,9870,11708,11618,11899,12331,12492,14957,17677,20789,18476
Data/It,689,564,735.0,856,1060,1199,1332,1243,1086,1246,1991,2818,2372
"Ekonomi, administration och försäljning",2931,2870,2927.0,3007,3496,3172,2945,3526,3666,4194,4936,5190,4273
Friskvård och kroppsvård,231,104,86.0,104,134,111,94,61,80,94,105,118,123
"Hotell, restaurang och turism",742,647,600.0,543,592,511,481,598,494,548,736,723,638
Hälso- och sjukvård samt socialt arbete,1298,1115,1270.0,1413,1840,1861,1990,1830,2041,2741,2765,3376,3510
Journalistik och information,57,33,50.0,82,135,154,160,203,164,221,244,205,203
Juridik,24,49,49.0,70,84,53,94,94,98,94,140,131,91
"Kultur, media och design",557,446,488.0,354,558,611,471,523,679,660,828,891,785
"Lantbruk, djurvård, trädgård, skog och fiske",391,371,336.0,328,322,352,368,413,291,387,423,491,504
Pedagogik och undervisning,303,217,148.0,192,183,154,259,164,345,354,417,550,503
Samhällsbyggnad och byggteknik,716,760,1022.0,975,1256,1264,1549,1438,1601,1895,2399,3074,2496
Säkerhetstjänster,107,83,79.0,71,52,114,128,52,84,137,103,185,206
Teknik och tillverkning,1786,1405,1516.0,1571,1629,1597,1529,1487,1384,1609,2112,2467,2208
Transporttjänster,558,458,419.0,260,317,410,451,627,446,715,432,472,441
Övrigt,26,22,,22,52,55,42,73,33,62,46,98,122
